distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std
dist_21,simulation_1,128,1.2856829704369461,0.4226778115849601,0,0,0,-1,2,5.744808598929541,3.0231470476872424,0,0,-16,1.0270519461482763,fisheyePolynomial,180,32.705366788432
dist_22,simulation_1,128,2.7289189408459302,0.24290816491618847,0,0,0,-1,2,4.639587539545918,4.802397136046421,0,4,-10,4.7413615845143795,fisheyePolynomial,180,46.942342766560614
dist_23,simulation_1,128,1.6910179558030545,0.5037514283007276,0,0,0,-1,2,2.1022716935499446,7.592270942815562,0,8,-12,2.7122203297913074,pinhole,180,95.73274181690067
dist_24,simulation_1,128,3.6786297984794327,0.22288338605484753,0,0,0,-1,2,2.8345146102367815,5.942472930503859,0,10,-18,5.001669611781836,fisheyePolynomial,180,15.618083509616554
dist_25,simulation_1,128,0.6032432526829817,0.48416683020978357,0,0,0,-1,2,5.362288911960982,6.4777078433504816,0,3,-4,2.5447496362030506,pinhole,180,67.7711519645527
dist_26,simulation_1,128,2.45920075862988,0.2069052353466072,0,0,0,-1,2,4.103342408799858,8.494746769854153,0,2,-11,3.305886698886752,pinhole,180,106.87149678356946
dist_27,simulation_1,128,1.821307763424717,0.467644979316149,0,0,0,-1,2,1.719126408153796,3.9217222171805766,0,5,-9,1.241636535152793,fisheyePolynomial,180,59.554401598870754
dist_28,simulation_1,128,2.97803573490714,0.5775601876270164,0,0,0,-1,2,5.104169696841856,8.068156302002308,0,7,-14,1.50585350766778,fisheyePolynomial,180,43.52892877534032
dist_29,simulation_1,128,1.527543378760959,0.3163640547442367,0,0,0,-1,2,2.5931457601593064,4.3265067939114354,0,1,-6,5.85452763363719,pinhole,180,87.54730015061796
dist_30,simulation_1,128,3.3851862060079725,0.3661337279370768,0,0,0,-1,2,3.8517908545541966,2.547257611542846,0,4,-21,0.5703189130872488,pinhole,180,84.34148824308068
