distribution_id,simulation_type,n_samples,metadata.theta_background_id,metadata.theta_blur_sigma,metadata.theta_brightness_shift,metadata.theta_clutter_count,metadata.theta_color_shift_b,metadata.theta_color_shift_g,metadata.theta_color_shift_r,metadata.theta_noise_std
dist_2,simulation_1,32,3,2.95477637346384,0.08702069300139248,3,-0.15136241023189786,-0.19444320959238146,0.1611175032679395,0.2524682970497134
dist_3,simulation_1,32,0,3.8826484234766157,0.25768312481363176,4,-0.13999701367028733,-0.13930201490966665,-0.08613341263108054,0.22039769440439733
dist_4,simulation_1,32,1,2.486226289995664,-0.24816947726015176,5,-0.05880078863215746,-0.019329206839766883,0.1254774223330135,0.08386298588818442
dist_5,simulation_1,32,2,0.2811566110288907,0.09350774133026535,3,-0.1913772980494792,0.1975096353212401,0.20487809344265284,0.3395268756083816
dist_6,simulation_1,32,0,2.7685088038679413,-0.028688678331950546,3,-0.002122159539541979,-0.20486904959919963,0.18010097593876823,0.10868758887861955
dist_7,simulation_1,32,1,2.1282652833086164,0.04909850401549365,4,0.20661723509682878,0.12105844162292262,0.19337953324039608,0.3758274754457219
dist_8,simulation_1,32,3,0.445120759360738,-0.20693250657622753,1,-0.07685465404771874,-0.04898199227121389,-0.10060642547433941,0.34806974297655724
dist_9,simulation_1,32,1,2.216514724998605,-0.2471253113199117,14,-0.18719771576655053,0.2142302509433987,0.11978769784144716,0.08346058363858934
dist_10,simulation_1,32,3,2.8567436414425234,0.1821752308089868,14,-0.18742035222144354,-0.06227507910307606,-0.1690176128931034,0.3625034275498552
dist_11,simulation_1,32,1,0.34787756751089893,-0.12298290252358046,6,0.1010267179213244,0.06052528706833121,0.17037360581039657,0.19833026237585408
dist_12,simulation_1,32,2,3.067061689962358,0.05973235416434569,14,-0.0027299375848756358,0.010002444873878108,-0.031881951749482496,0.010676032899198414
dist_13,simulation_1,32,0,2.5820006044705344,-0.12052013122649083,9,0.17932924755576674,-0.11031141857676112,-0.03943151365065917,0.31733146828052183
