distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_roll_min,metadata.synth_metadata_synth_camera_tilt_min,metadata.synth_metadata_synth_camera_type,metadata.synth_metadata_synth_camera_yaw_min,metadata.synth_metadata_synth_clutter_level,metadata.synth_metadata_synth_env_name,metadata.synth_metadata_synth_num_distractor_instances,metadata.synth_metadata_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_synth_dist_BarelPlastic_instances,metadata.synth_metadata_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_synth_dist_BottlePlastic_instances,metadata.synth_metadata_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_synth_dist_Bucket_diversity,metadata.synth_metadata_synth_dist_Bucket_instances,metadata.synth_metadata_synth_dist_Bucket_occurrence,metadata.synth_metadata_synth_dist_CardBox_diversity,metadata.synth_metadata_synth_dist_CardBox_instances,metadata.synth_metadata_synth_dist_CardBox_occurrence,metadata.synth_metadata_synth_dist_CratePlastic_diversity,metadata.synth_metadata_synth_dist_CratePlastic_instances,metadata.synth_metadata_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_synth_dist_PushCart_diversity,metadata.synth_metadata_synth_dist_PushCart_instances,metadata.synth_metadata_synth_dist_PushCart_occurrence,metadata.synth_metadata_synth_dist_RackPile_diversity,metadata.synth_metadata_synth_dist_RackPile_instances,metadata.synth_metadata_synth_dist_RackPile_occurrence,metadata.synth_metadata_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_synth_dist_TrafficSigns_instances,metadata.synth_metadata_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max,metadata.synth_metadata_synth_camera_roll_max,metadata.synth_metadata_synth_camera_tilt_max,metadata.synth_metadata_synth_camera_yaw_max
dist_1139,simulation_1,128,1.3064751474450533,73,117008,241701,0.18854325824444707,2.1723296449360627,5,2,360,nv_wooden_wall.jpg,nv_tile_hexagonal_various.jpg,,1.1829929784373825,nv_brick_red_stacked.jpg,nv_fireplace_wall.jpg,nv_fabric_square_grid.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_siding_weathered_green.jpg,,,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,-3,-12,pinhole,-14,0.10240544693982168,,28,1,1,0,0,-1,0,-1,3,-1,1,16,-1,-1,1,0,-1,0,-1,1,-1,-1,0,-1,0,1.6261042815446214,111,0.7075273865001876,5.99168841321687,2.7022419750760496,0,-2,-1
dist_1140,simulation_1,128,1.8535094214408716,64,140375,290147,0.031448692334688264,1.625134763296484,6,2,360,nv_granite_tile.jpg,nv_granite_tile.jpg,nv_stone_red_hatch.jpg,0.3947120419377472,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_wooden_wall.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_plastic_blue.jpg,,,,1,-3,-5,pinhole,-16,-0.6949351352157365,,10,0,4,0,-1,5,-1,0,0,-1,0,1,0,0,1,0,-1,-1,0,-1,-1,-1,0,3,-1,4.782693791864659,110,0.4718963089848742,3.930399244147713,0.7252982914736892,8,-3,-1
dist_1141,simulation_1,128,2.3168347658268584,75,139928,249780,0.09368020765913028,0.9259524985186482,5,2,360,nv_stucco_red_painted.jpg,nv_marble.jpg,nv_carpet_abstract_pattern.jpg,0.2950033017887561,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_carpet_abstract_pattern.jpg,nv_concrete_aged_with_lines.jpg,nv_brick_red_stacked.jpg,nv_wooden_wall.jpg,,,,1,-3,-10,pinhole,-9,-0.5353863082587043,,22,0,1,-1,0,6,0,0,0,-1,-1,8,-1,-1,5,1,-1,1,0,-1,0,0,-1,0,-1,4.766565749689553,102,0.3657682259559441,2.182821123995671,1.1217139539765593,14,4,111
dist_1142,simulation_1,128,0.8325098914423619,40,100085,625910,0.07462845688136846,2.4577807401000085,5,2,360,nv_marble.jpg,nv_wooden_wall.jpg,nv_carpet_abstract_pattern.jpg,0.3552937998679805,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_plastic_blue.jpg,,nv_brick_red_stacked.jpg,1,-6,-15,pinhole,-1,-0.797869185166511,,10,0,6,-1,-1,4,-1,-1,-1,-1,1,22,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,3,0,4.656913761425975,100,0.37896851468846104,5.4136298171499595,1.6918131622335828,8,-5,18
dist_1143,simulation_1,128,1.1006887579765665,64,99915,424464,0.3594655633590475,3.9860415239950258,3,2,360,nv_animalfur_pattern_greys.jpg,nv_stone_painted_grey.jpg,nv_bamboo_desktop.jpg,0.9137495869016874,,nv_tile_square_green.jpg,nv_carpet_abstract_pattern.jpg,nv_stone_painted_grey.jpg,nv_asphalt_yellow_weathered.jpg,nv_plastic_blue.jpg,,nv_brick_reclaimed.jpg,nv_brick_reclaimed.jpg,1,-7,-20,pinhole,-8,0.1110502879826396,,9,-1,13,-1,-1,0,-1,-1,1,0,-1,17,-1,-1,13,-1,-1,1,0,-1,0,-1,-1,-1,0,5.5,115,1.0,6.007381520272722,2.593572332883646,-1,-2,22
dist_1144,simulation_1,128,3.4540169123028397,66,85791,376706,0.014608977160957867,0.31084884177564787,4,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_wood_shingles_brown.jpg,1.0852359982982154,nv_brick_red_stacked.jpg,nv_fireplace_wall.jpg,nv_brick_red_stacked.jpg,nv_wood_shingles_brown.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg,,,,1,-3,-31,pinhole,-18,-0.6356370743837317,,65,1,19,0,0,0,0,-1,1,-1,-1,5,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,2,1,5.5,98,0.8960333514436996,0.48599457395837153,2.7002960797633877,13,-19,42
dist_1145,simulation_1,128,0.393855935165073,42,106889,315250,0.3319264328859518,2.4455153711317097,2,2,360,nv_concrete_aged_with_lines.jpg,nv_artificialgrass_green.jpg,nv_tile_square_green.jpg,1.9245468114786934,,nv_tile_hexagonal_green_white.jpg,nv_stone_painted_grey.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,nv_wood_siding_weathered_green.jpg,,,nv_gravel_grey_leaves.jpg,1,-2,-7,pinhole,-1,-0.9283516491562828,warehouse_with_forklifts,85,0,8,-1,-1,-1,1,-1,0,-1,0,13,0,1,7,0,-1,-1,0,-1,3,-1,-1,0,0,1.9831760524011497,113,0.9718608283007639,4.90331998564711,2.052325342083498,14,3,140
dist_1146,simulation_1,128,2.479531461400246,40,135071,307872,0.04733362418554927,1.0483593543512495,6,2,360,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,nv_stone_red_hatch.jpg,0.6927193607225126,,nv_wood_shingles_brown.jpg,nv_fabric_square_grid.jpg,,,nv_brick_reclaimed.jpg,,,,1,-3,-10,pinhole,-4,-0.16980197948530798,,40,4,0,3,3,-1,4,1,2,2,1,12,3,4,-1,2,1,4,1,0,0,2,1,5,2,5.303841824504287,66,0.20000000298023224,4.816023502439917,2.12043940955321,0,0,53
dist_1147,simulation_1,128,1.3368010946842994,58,67924,275855,0.00030064051017357485,0.2913895011154602,3,2,360,nv_marble.jpg,nv_asphalt_yellow_weathered.jpg,nv_bamboo_desktop.jpg,0.7837247388381898,,nv_fabric_square_grid.jpg,nv_brick_reclaimed.jpg,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg,nv_brick_red_stacked.jpg,,,nv_gravel_grey_leaves.jpg,1,-2,-22,pinhole,-8,-0.16481515448665096,,9,-1,8,-1,0,3,-1,-1,1,-1,2,27,-1,-1,7,-1,-1,-1,-1,1,-1,-1,0,-1,-1,5.5,68,0.3082690655760347,2.513026251557839,1.194310300097798,3,-6,77
dist_1148,simulation_1,128,0.8935546642898677,69,136469,404300,0.19919785229947762,0.7949743694773193,6,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_tile_square_green.jpg,0.19333140749382752,,nv_brick_red_stacked.jpg,nv_concrete_aged_with_lines.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_wooden_wall.jpg,,,,1,-6,-16,pinhole,-11,-0.05968480465926085,warehouse_multiple_shelves,44,-1,0,-1,0,1,-1,-1,1,0,-1,7,-1,-1,-1,-1,-1,-1,0,-1,2,1,-1,3,0,2.421203317848114,109,0.2984524361166965,2.421313336466523,0.304829234928103,5,-12,12
dist_1149,simulation_1,128,1.3888340828473447,90,79799,398192,0.37685923624631373,2.096379347105155,5,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_tile_square_green.jpg,1.305174524958435,,nv_wood_shingles_brown.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_siding_weathered_green.jpg,,nv_wood_siding_weathered_green.jpg,,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,1,-1,-12,pinhole,-10,-0.09064971739278849,,55,0,2,-1,0,10,0,0,0,0,-1,14,-1,-1,0,0,0,0,-1,-1,-1,2,0,-1,-1,4.467508301004746,117,0.4855840143832401,2.3473124219307007,1.826794164342856,4,-5,52
dist_1150,simulation_1,128,1.5870375206731029,52,131895,230685,0.012746669592774505,0.6394432371343196,6,2,360,nv_granite_tile.jpg,nv_concrete_aged_with_lines.jpg,nv_fireplace_wall.jpg,0.06543116403047014,,nv_tile_square_green.jpg,nv_stucco_red_painted.jpg,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,nv_asphalt_yellow_weathered.jpg,,,,1,-2,-12,pinhole,-11,-0.11292126744024089,,2,-1,11,-1,0,19,-1,-1,-1,-1,1,8,-1,-1,6,-1,-1,0,-1,-1,3,-1,-1,2,0,4.685314981448187,87,0.5450294994185939,1.4749254965382514,1.2448033439255655,3,5,29
dist_1151,simulation_1,128,2.662746386024559,76,132740,328970,0.05180423439305684,0.47030956248537303,6,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_stone_red_hatch.jpg,0.11529671018670512,,nv_brick_reclaimed.jpg,,,,nv_gravel_grey_leaves.jpg,,,,1,-3,-9,pinhole,-21,1.033314712257742,warehouse_multiple_shelves,90,1,10,3,3,8,3,1,1,2,4,8,1,3,1,2,0,3,3,0,5,1,2,3,1,5.5,120,0.39296529725999574,3.780031987001787,1.2025821307722024,3,5,-1
dist_1152,simulation_1,128,0.5660811698924741,78,120799,413636,0.10842361476890422,0.5574876412073306,6,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_tile_hexagonal_green_white.jpg,0.9834013436340732,nv_brick_red_stacked.jpg,nv_brick_red_stacked.jpg,,nv_brick_reclaimed.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,,nv_brick_reclaimed.jpg,nv_gravel_grey_leaves.jpg,1,-1,-22,pinhole,-23,-0.48549330502663224,,15,0,3,-1,-1,-1,-1,0,0,0,-1,12,-1,0,2,-1,0,-1,-1,-1,0,-1,-1,0,-1,5.0366597748544635,102,0.20000000298023224,3.446491842999807,2.354844492769148,8,1,58
dist_1153,simulation_1,128,2.2743843646441686,62,140169,161418,0.009297784523443953,0.3999098796208449,6,2,360,nv_wooden_wall.jpg,nv_granite_tile.jpg,,0.020147071359268295,,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_gravel_grey_leaves.jpg,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,,1,-3,-8,pinhole,-2,1.2730506619924613,warehouse,49,1,0,1,2,3,1,1,2,2,3,6,4,2,9,2,1,0,0,1,-1,1,1,2,1,4.115681570724033,92,0.3760025282619788,3.92234516645333,0.25224899450632793,20,2,38
dist_1154,simulation_1,128,1.4077063845462172,58,142713,292970,0.15853259100887973,1.421261344742577,5,2,360,nv_animalfur_pattern_greys.jpg,nv_marble.jpg,nv_wood_shingles_brown.jpg,0.6150807276934792,,nv_wood_shingles_brown.jpg,nv_asphalt_yellow_weathered.jpg,nv_wooden_wall.jpg,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,,,,1,-3,-13,pinhole,-4,-0.3425189662149538,,11,0,4,0,0,15,0,-1,0,0,-1,18,0,-1,12,-1,0,2,0,1,0,-1,-1,0,-1,2.469904310287638,77,0.49128919545193567,1.9164461750739124,1.143404744224223,2,5,13
dist_1155,simulation_1,128,1.6170785932026845,83,73478,654187,0.07287140379107919,0.9450153655072466,6,2,360,nv_marble.jpg,nv_artificialgrass_green.jpg,nv_tile_square_green.jpg,1.3155706246363417,,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_stone_painted_grey.jpg,nv_gravel_grey_leaves.jpg,nv_brick_red_stacked.jpg,,,,1,-5,-2,pinhole,-3,-0.997160795511671,,90,-1,0,0,0,14,0,-1,0,-1,3,16,-1,-1,4,-1,0,3,-1,-1,0,-1,0,0,-1,5.5,85,0.442250379096042,6.49746344227343,3.2166235549599884,0,5,31
dist_1156,simulation_1,128,1.3361620514174863,64,102136,451413,0.12077935571580223,1.7080990464459558,5,2,360,nv_asphalt_yellow_weathered.jpg,nv_artificialgrass_green.jpg,nv_brick_reclaimed.jpg,0.6132042170013832,nv_plastic_blue.jpg,nv_fireplace_wall.jpg,nv_wood_shingles_brown.jpg,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,nv_carpet_abstract_pattern.jpg,,nv_brick_reclaimed.jpg,nv_gravel_grey_leaves.jpg,1,-1,-11,pinhole,-31,-0.11342002998116851,,31,0,1,0,0,7,-1,-1,1,0,0,2,0,-1,5,-1,-1,0,0,0,2,-1,-1,-1,-1,5.5,87,0.34850912785579885,5.590708433877503,1.210713417882125,1,-9,-1
dist_1157,simulation_1,128,0.16204548123628082,74,136283,483780,0.2486585345529747,4.624099341875608,4,2,360,nv_marble.jpg,nv_wooden_wall.jpg,nv_rubber_woven_charcoal.jpg,1.563356768433716,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_fabric_square_grid.jpg,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg,,nv_plastic_blue.jpg,,,1,-5,-10,pinhole,0,-0.5941591411235769,,14,1,6,0,-1,4,0,0,1,1,-1,9,1,1,-1,-1,-1,-1,0,-1,1,0,0,0,-1,0.4751694046521221,120,0.4418895408540557,7.991404986237208,2.0017747979925464,2,5,25
